id,punish_lack_of_linkedin,punish_short_profile,reward_clustered_mentors,reward_high_lix,reward_priorities,reward_same_industry,reward_similar_text
20201105_12_22_56,100,400,250,50,500,100,200
20201110_11_33_53,100,400,250,50,250,500,100,200
20201110_11_35_41,100,400,250,50,250,500,100,200
20201110_11_51_03,100,400,250,50,250,500,100,200
20201110_11_52_55,250
20201110_11_53_47,100,400,250,50,150,500,100,200
20201110_11_56_43,100,400,250,50,350,500,100,200
20201110_11_59_55,350
20201110_12_49_51,350
20201110_12_50_47,350
20201110_12_51_34,350
20201110_12_51_54,350
20201110_12_52_45,350
20201110_12_53_10,350
20201110_12_53_50,350
20201110_13_00_30,100,400,250,50,350,500,100,200
20201110_13_01_27,100,400,250,50,350,500,100,200
20201110_13_02_35,100,400,250,50,450,500,100,200
20201110_13_03_54,100,400,250,50,850,500,100,200
20201110_13_05_31,850
20201110_13_06_05,100,400,250,50,850,500,100,200
20201110_13_07_44,100,400,250,50,100850,500,100,200
20201110_13_13_44,100,400,250,50,100850,500,100,200
20201110_13_15_35,100,400,250,50,400,500,100,200
20201110_13_16_35,100,400,250,50,500,500,100,200
20201110_13_17_44,100,400,250,50,450,500,100,200
20201110_13_18_48,100,400,250,50,475,500,100,200
20201110_13_20_17,100,400,250,50,475,500,100,200
20201110_13_21_54,100,400,250,50,475,500,100,200
20201110_13_23_13,100,400,250,50,375,500,100,200
20201110_13_57_10,100,400,250,50,505,500,100,200
20201110_13_59_52,100,400,250,50,405,500,100,200
20201110_14_00_56,100,400,250,50,305,500,100,200
20201110_14_02_11,100,400,250,50,355,500,100,200
20201110_14_03_20,100,400,250,50,255,500,100,200
20201110_14_05_29,100,400,150,50,600,500,100,200
20201110_14_06_36,100,400,150,50,495,500,100,200
20201110_14_11_43,0.0,0.0,0.0,0.0,495.0,0.0,0.0,0.0
20201110_14_12_49,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
20201110_14_19_06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
20201110_14_20_17,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0
20201110_14_21_37,0.0,75.0,0.0,0.0,50.0,100.0,0.0,0.0
20201110_14_22_20,0.0,50.0,0.0,0.0,50.0,100.0,0.0,0.0
20201110_14_23_21,0.0,50.0,0.0,0.0,50.0,100.0,20.0,0.0
20201110_14_25_18,10.0,50.0,0.0,0.0,50.0,100.0,20.0,0.0
20201110_14_26_25,25.0,50.0,0.0,0.0,50.0,100.0,20.0,0.0
20201110_14_27_37,20.0,50.0,0.0,0.0,50.0,100.0,20.0,0.0
20201110_14_28_49,20.0,50.0,0.0,0.0,60.0,100.0,20.0,0.0
20201110_14_29_59,20.0,50.0,0.0,0.0,50.0,100.0,20.0,10.0
20201110_14_30_54,20.0,50.0,0.0,0.0,50.0,150.0,20.0,10.0
20201110_14_31_59,20.0,60.0,0.0,0.0,50.0,100.0,20.0,10.0
20201110_14_34_14,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
20201110_14_35_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
20201110_14_36_32,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201110_14_41_24,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201110_14_44_02,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201110_14_46_15,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201110_14_47_04,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201110_14_48_02,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201110_14_48_53,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201110_14_49_51,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201111_09_50_47,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
20201111_09_56_37,,,,,
20201111_09_58_44,200.0
